# Every number of the main text of manuscript/draft_v2.md (title to Materials and methods, the six figure captions and the three table captions and bodies, the Data and code availability statement, and the Supporting-information captions), one row per occurrence, in reading order. category: data (checked against the named file at the named line, at the printed precision), design (a fixed setting of the analysis, located in the named file), literature (a value of a cited work, located in the literature table), bound (a stated bound, checked to hold against the file's value), derived (computed from quoted values; the derivation is given), label (a name, index, date or formula constant, not a quantity). Round 17 (the revision of 25 September 2026).
section,paragraph,occurrence,number,category,source_file,locator,note,check,context
Results / 1. The sixteen atoms in closed form,"Table 1, body",1,−0.0078,data,notes/review_results/partB/family_atoms_tables.md,line 10; the line holds -0.0078; anchor: @L10-26|| rtr |,"family_atoms_tables.md, ts_gsr W = 60 table",ok,|---|---|---|---|---| | rtr | +0.0388 | +0.0504 | −0.0116 | −0.0078 (10) | −0.0086 (10) | +0.0008 (4) | | r
Results / 1. The sixteen atoms in closed form,"Table 1, body",1,10,data,notes/review_results/partB/family_atoms_tables.md,line 10; the line holds 10; anchor: @L10-26|| rtr |,"family_atoms_tables.md, ts_gsr W = 60 table",ok,---|---|---| | rtr | +0.0388 | +0.0504 | −0.0116 | −0.0078 (10) | −0.0086 (10) | +0.0008 (4) | | rtx |
Results / 1. The sixteen atoms in closed form,"Table 1, body",1,−0.0086,data,notes/review_results/partB/family_atoms_tables.md,line 10; the line holds -0.0086; anchor: @L10-26|| rtr |,"family_atoms_tables.md, ts_gsr W = 60 table",ok,-|---| | rtr | +0.0388 | +0.0504 | −0.0116 | −0.0078 (10) | −0.0086 (10) | +0.0008 (4) | | rtx | +0.0258 | 
Results / 1. The sixteen atoms in closed form,"Table 1, body",2,10,data,notes/review_results/partB/family_atoms_tables.md,line 10; the line holds 10; anchor: @L10-26|| rtr |,"family_atoms_tables.md, ts_gsr W = 60 table",ok,rtr | +0.0388 | +0.0504 | −0.0116 | −0.0078 (10) | −0.0086 (10) | +0.0008 (4) | | rtx | +0.0258 | +0.0
Results / 1. The sixteen atoms in closed form,"Table 1, body",1,+0.0008,data,notes/review_results/partB/family_atoms_tables.md,line 10; the line holds +0.0008; anchor: @L10-26|| rtr |,"family_atoms_tables.md, ts_gsr W = 60 table",ok,+0.0388 | +0.0504 | −0.0116 | −0.0078 (10) | −0.0086 (10) | +0.0008 (4) | | rtx | +0.0258 | +0.0027 | +0.02
Results / 1. The sixteen atoms in closed form,"Table 1, body",1,4,data,notes/review_results/partB/family_atoms_tables.md,line 10; the line holds 4; anchor: @L10-26|| rtr |,"family_atoms_tables.md, ts_gsr W = 60 table",ok, +0.0504 | −0.0116 | −0.0078 (10) | −0.0086 (10) | +0.0008 (4) | | rtx | +0.0258 | +0.0027 | +0.0231 
Results / 1. The sixteen atoms in closed form,"Table 1, body",1,+0.0258,data,notes/review_results/partB/family_atoms_tables.md,line 11; the line holds +0.0258; anchor: @L10-26|| rtx |,"family_atoms_tables.md, ts_gsr W = 60 table",ok,.0116 | −0.0078 (10) | −0.0086 (10) | +0.0008 (4) | | rtx | +0.0258 | +0.0027 | +0.0231 | −0.0012 (9) | −0.
Results / 1. The sixteen atoms in closed form,"Table 1, body",1,+0.0027,data,notes/review_results/partB/family_atoms_tables.md,line 11; the line holds +0.0027; anchor: @L10-26|| rtx |,"family_atoms_tables.md, ts_gsr W = 60 table",ok,.0078 (10) | −0.0086 (10) | +0.0008 (4) | | rtx | +0.0258 | +0.0027 | +0.0231 | −0.0012 (9) | −0.0003 (10) 
Results / 1. The sixteen atoms in closed form,"Table 1, body",1,+0.0231,data,notes/review_results/partB/family_atoms_tables.md,line 11; the line holds +0.0231; anchor: @L10-26|| rtx |,"family_atoms_tables.md, ts_gsr W = 60 table",ok, | −0.0086 (10) | +0.0008 (4) | | rtx | +0.0258 | +0.0027 | +0.0231 | −0.0012 (9) | −0.0003 (10) | −0.0008 
Results / 1. The sixteen atoms in closed form,"Table 1, body",1,−0.0012,data,notes/review_results/partB/family_atoms_tables.md,line 11; the line holds -0.0012; anchor: @L10-26|| rtx |,"family_atoms_tables.md, ts_gsr W = 60 table",ok, (10) | +0.0008 (4) | | rtx | +0.0258 | +0.0027 | +0.0231 | −0.0012 (9) | −0.0003 (10) | −0.0008 (8) | | rt
Results / 1. The sixteen atoms in closed form,"Table 1, body",1,9,data,notes/review_results/partB/family_atoms_tables.md,line 11; the line holds 9; anchor: @L10-26|| rtx |,"family_atoms_tables.md, ts_gsr W = 60 table",ok,0.0008 (4) | | rtx | +0.0258 | +0.0027 | +0.0231 | −0.0012 (9) | −0.0003 (10) | −0.0008 (8) | | rty |
Results / 1. The sixteen atoms in closed form,"Table 1, body",1,−0.0003,data,notes/review_results/partB/family_atoms_tables.md,line 11; the line holds -0.0003; anchor: @L10-26|| rtx |,"family_atoms_tables.md, ts_gsr W = 60 table",ok,8 (4) | | rtx | +0.0258 | +0.0027 | +0.0231 | −0.0012 (9) | −0.0003 (10) | −0.0008 (8) | | rty | +0.0254 | 
Results / 1. The sixteen atoms in closed form,"Table 1, body",3,10,data,notes/review_results/partB/family_atoms_tables.md,line 11; the line holds 10; anchor: @L10-26|| rtx |,"family_atoms_tables.md, ts_gsr W = 60 table",ok, rtx | +0.0258 | +0.0027 | +0.0231 | −0.0012 (9) | −0.0003 (10) | −0.0008 (8) | | rty | +0.0254 | +0.0
Results / 1. The sixteen atoms in closed form,"Table 1, body",1,−0.0008,data,notes/review_results/partB/family_atoms_tables.md,line 11; the line holds -0.0008; anchor: @L10-26|| rtx |,"family_atoms_tables.md, ts_gsr W = 60 table",ok, +0.0258 | +0.0027 | +0.0231 | −0.0012 (9) | −0.0003 (10) | −0.0008 (8) | | rty | +0.0254 | +0.0024 | +0.02
Results / 1. The sixteen atoms in closed form,"Table 1, body",1,8,data,notes/review_results/partB/family_atoms_tables.md,line 11; the line holds 8; anchor: @L10-26|| rtx |,"family_atoms_tables.md, ts_gsr W = 60 table",ok,| +0.0027 | +0.0231 | −0.0012 (9) | −0.0003 (10) | −0.0008 (8) | | rty | +0.0254 | +0.0024 | +0.0230 
Results / 1. The sixteen atoms in closed form,"Table 1, body",1,+0.0254,data,notes/review_results/partB/family_atoms_tables.md,line 12; the line holds +0.0254; anchor: @L10-26|| rty |,"family_atoms_tables.md, ts_gsr W = 60 table",ok,0.0231 | −0.0012 (9) | −0.0003 (10) | −0.0008 (8) | | rty | +0.0254 | +0.0024 | +0.0230 | −0.0012 (9) | −0.
Results / 1. The sixteen atoms in closed form,"Table 1, body",1,+0.0024,data,notes/review_results/partB/family_atoms_tables.md,line 12; the line holds +0.0024; anchor: @L10-26|| rty |,"family_atoms_tables.md, ts_gsr W = 60 table",ok,0.0012 (9) | −0.0003 (10) | −0.0008 (8) | | rty | +0.0254 | +0.0024 | +0.0230 | −0.0012 (9) | −0.0000 (10) 
Results / 1. The sixteen atoms in closed form,"Table 1, body",1,+0.0230,data,notes/review_results/partB/family_atoms_tables.md,line 12; the line holds +0.0230; anchor: @L10-26|| rty |,"family_atoms_tables.md, ts_gsr W = 60 table",ok, | −0.0003 (10) | −0.0008 (8) | | rty | +0.0254 | +0.0024 | +0.0230 | −0.0012 (9) | −0.0000 (10) | −0.0011 
Results / 1. The sixteen atoms in closed form,"Table 1, body",2,−0.0012,data,notes/review_results/partB/family_atoms_tables.md,line 12; the line holds -0.0012; anchor: @L10-26|| rty |,"family_atoms_tables.md, ts_gsr W = 60 table",ok, (10) | −0.0008 (8) | | rty | +0.0254 | +0.0024 | +0.0230 | −0.0012 (9) | −0.0000 (10) | −0.0011 (9) | | rt
Results / 1. The sixteen atoms in closed form,"Table 1, body",2,9,data,notes/review_results/partB/family_atoms_tables.md,line 12; the line holds 9; anchor: @L10-26|| rty |,"family_atoms_tables.md, ts_gsr W = 60 table",ok,0.0008 (8) | | rty | +0.0254 | +0.0024 | +0.0230 | −0.0012 (9) | −0.0000 (10) | −0.0011 (9) | | rts |
Results / 1. The sixteen atoms in closed form,"Table 1, body",1,−0.0000,data,notes/review_results/partB/family_atoms_tables.md,line 12; the line holds -0.0000; anchor: @L10-26|| rty |,"family_atoms_tables.md, ts_gsr W = 60 table",ok,8 (8) | | rty | +0.0254 | +0.0024 | +0.0230 | −0.0012 (9) | −0.0000 (10) | −0.0011 (9) | | rts | +0.5669 | 
Results / 1. The sixteen atoms in closed form,"Table 1, body",4,10,data,notes/review_results/partB/family_atoms_tables.md,line 12; the line holds 10; anchor: @L10-26|| rty |,"family_atoms_tables.md, ts_gsr W = 60 table",ok, rty | +0.0254 | +0.0024 | +0.0230 | −0.0012 (9) | −0.0000 (10) | −0.0011 (9) | | rts | +0.5669 | +0.5
Results / 1. The sixteen atoms in closed form,"Table 1, body",1,−0.0011,data,notes/review_results/partB/family_atoms_tables.md,line 12; the line holds -0.0011; anchor: @L10-26|| rty |,"family_atoms_tables.md, ts_gsr W = 60 table",ok, +0.0254 | +0.0024 | +0.0230 | −0.0012 (9) | −0.0000 (10) | −0.0011 (9) | | rts | +0.5669 | +0.5756 | −0.00
Results / 1. The sixteen atoms in closed form,"Table 1, body",3,9,data,notes/review_results/partB/family_atoms_tables.md,line 12; the line holds 9; anchor: @L10-26|| rty |,"family_atoms_tables.md, ts_gsr W = 60 table",ok,| +0.0024 | +0.0230 | −0.0012 (9) | −0.0000 (10) | −0.0011 (9) | | rts | +0.5669 | +0.5756 | −0.0087 
Results / 1. The sixteen atoms in closed form,"Table 1, body",1,+0.5669,data,notes/review_results/partB/family_atoms_tables.md,line 13; the line holds +0.5669; anchor: @L10-26|| rts |,"family_atoms_tables.md, ts_gsr W = 60 table",ok,0.0230 | −0.0012 (9) | −0.0000 (10) | −0.0011 (9) | | rts | +0.5669 | +0.5756 | −0.0087 | −0.0407 (12) | −0
Results / 1. The sixteen atoms in closed form,"Table 1, body",1,+0.5756,data,notes/review_results/partB/family_atoms_tables.md,line 13; the line holds +0.5756; anchor: @L10-26|| rts |,"family_atoms_tables.md, ts_gsr W = 60 table",ok,0.0012 (9) | −0.0000 (10) | −0.0011 (9) | | rts | +0.5669 | +0.5756 | −0.0087 | −0.0407 (12) | −0.0414 (13)
Results / 1. The sixteen atoms in closed form,"Table 1, body",1,−0.0087,data,notes/review_results/partB/family_atoms_tables.md,line 13; the line holds -0.0087; anchor: @L10-26|| rts |,"family_atoms_tables.md, ts_gsr W = 60 table",ok, | −0.0000 (10) | −0.0011 (9) | | rts | +0.5669 | +0.5756 | −0.0087 | −0.0407 (12) | −0.0414 (13) | +0.0008
Results / 1. The sixteen atoms in closed form,"Table 1, body",1,−0.0407,data,notes/review_results/partB/family_atoms_tables.md,line 13; the line holds -0.0407; anchor: @L10-26|| rts |,"family_atoms_tables.md, ts_gsr W = 60 table",ok, (10) | −0.0011 (9) | | rts | +0.5669 | +0.5756 | −0.0087 | −0.0407 (12) | −0.0414 (13) | +0.0008 (4) | | x
Results / 1. The sixteen atoms in closed form,"Table 1, body",1,12,data,notes/review_results/partB/family_atoms_tables.md,line 13; the line holds 12; anchor: @L10-26|| rts |,"family_atoms_tables.md, ts_gsr W = 60 table",ok,0.0011 (9) | | rts | +0.5669 | +0.5756 | −0.0087 | −0.0407 (12) | −0.0414 (13) | +0.0008 (4) | | xtr |
Results / 1. The sixteen atoms in closed form,"Table 1, body",1,−0.0414,data,notes/review_results/partB/family_atoms_tables.md,line 13; the line holds -0.0414; anchor: @L10-26|| rts |,"family_atoms_tables.md, ts_gsr W = 60 table",ok, (9) | | rts | +0.5669 | +0.5756 | −0.0087 | −0.0407 (12) | −0.0414 (13) | +0.0008 (4) | | xtr | +0.0254 | 
Results / 1. The sixteen atoms in closed form,"Table 1, body",1,13,data,notes/review_results/partB/family_atoms_tables.md,line 13; the line holds 13; anchor: @L10-26|| rts |,"family_atoms_tables.md, ts_gsr W = 60 table",ok,rts | +0.5669 | +0.5756 | −0.0087 | −0.0407 (12) | −0.0414 (13) | +0.0008 (4) | | xtr | +0.0254 | +0.0
Results / 1. The sixteen atoms in closed form,"Table 1, body",2,+0.0008,data,notes/review_results/partB/family_atoms_tables.md,line 13; the line holds +0.0008; anchor: @L10-26|| rts |,"family_atoms_tables.md, ts_gsr W = 60 table",ok,+0.5669 | +0.5756 | −0.0087 | −0.0407 (12) | −0.0414 (13) | +0.0008 (4) | | xtr | +0.0254 | +0.0024 | +0.02
Results / 1. The sixteen atoms in closed form,"Table 1, body",2,4,data,notes/review_results/partB/family_atoms_tables.md,line 13; the line holds 4; anchor: @L10-26|| rts |,"family_atoms_tables.md, ts_gsr W = 60 table",ok, +0.5756 | −0.0087 | −0.0407 (12) | −0.0414 (13) | +0.0008 (4) | | xtr | +0.0254 | +0.0024 | +0.0230 
Results / 1. The sixteen atoms in closed form,"Table 1, body",2,+0.0254,data,notes/review_results/partB/family_atoms_tables.md,line 14; the line holds +0.0254; anchor: @L10-26|| xtr |,"family_atoms_tables.md, ts_gsr W = 60 table",ok,.0087 | −0.0407 (12) | −0.0414 (13) | +0.0008 (4) | | xtr | +0.0254 | +0.0024 | +0.0230 | −0.0012 (9) | −0.
Results / 1. The sixteen atoms in closed form,"Table 1, body",2,+0.0024,data,notes/review_results/partB/family_atoms_tables.md,line 14; the line holds +0.0024; anchor: @L10-26|| xtr |,"family_atoms_tables.md, ts_gsr W = 60 table",ok,.0407 (12) | −0.0414 (13) | +0.0008 (4) | | xtr | +0.0254 | +0.0024 | +0.0230 | −0.0012 (9) | −0.0000 (10) 
Results / 1. The sixteen atoms in closed form,"Table 1, body",2,+0.0230,data,notes/review_results/partB/family_atoms_tables.md,line 14; the line holds +0.0230; anchor: @L10-26|| xtr |,"family_atoms_tables.md, ts_gsr W = 60 table",ok, | −0.0414 (13) | +0.0008 (4) | | xtr | +0.0254 | +0.0024 | +0.0230 | −0.0012 (9) | −0.0000 (10) | −0.0011 
Results / 1. The sixteen atoms in closed form,"Table 1, body",3,−0.0012,data,notes/review_results/partB/family_atoms_tables.md,line 12; the line holds -0.0012; anchor: @L10-26|| rty |,"family_atoms_tables.md, ts_gsr W = 60 table",ok, (13) | +0.0008 (4) | | xtr | +0.0254 | +0.0024 | +0.0230 | −0.0012 (9) | −0.0000 (10) | −0.0011 (9) | | xt
Results / 1. The sixteen atoms in closed form,"Table 1, body",4,9,data,notes/review_results/partB/family_atoms_tables.md,line 12; the line holds 9; anchor: @L10-26|| rty |,"family_atoms_tables.md, ts_gsr W = 60 table",ok,0.0008 (4) | | xtr | +0.0254 | +0.0024 | +0.0230 | −0.0012 (9) | −0.0000 (10) | −0.0011 (9) | | xtx |
Results / 1. The sixteen atoms in closed form,"Table 1, body",2,−0.0000,data,notes/review_results/partB/family_atoms_tables.md,line 12; the line holds -0.0000; anchor: @L10-26|| rty |,"family_atoms_tables.md, ts_gsr W = 60 table",ok,8 (4) | | xtr | +0.0254 | +0.0024 | +0.0230 | −0.0012 (9) | −0.0000 (10) | −0.0011 (9) | | xtx | +0.6273 | 
Results / 1. The sixteen atoms in closed form,"Table 1, body",5,10,data,notes/review_results/partB/family_atoms_tables.md,line 12; the line holds 10; anchor: @L10-26|| rty |,"family_atoms_tables.md, ts_gsr W = 60 table",ok, xtr | +0.0254 | +0.0024 | +0.0230 | −0.0012 (9) | −0.0000 (10) | −0.0011 (9) | | xtx | +0.6273 | +0.6
Results / 1. The sixteen atoms in closed form,"Table 1, body",2,−0.0011,data,notes/review_results/partB/family_atoms_tables.md,line 14; the line holds -0.0011; anchor: @L10-26|| xtr |,"family_atoms_tables.md, ts_gsr W = 60 table",ok, +0.0254 | +0.0024 | +0.0230 | −0.0012 (9) | −0.0000 (10) | −0.0011 (9) | | xtx | +0.6273 | +0.6617 | −0.03
Results / 1. The sixteen atoms in closed form,"Table 1, body",5,9,data,notes/review_results/partB/family_atoms_tables.md,line 14; the line holds 9; anchor: @L10-26|| xtr |,"family_atoms_tables.md, ts_gsr W = 60 table",ok,| +0.0024 | +0.0230 | −0.0012 (9) | −0.0000 (10) | −0.0011 (9) | | xtx | +0.6273 | +0.6617 | −0.0345 
Results / 1. The sixteen atoms in closed form,"Table 1, body",1,+0.6273,data,notes/review_results/partB/family_atoms_tables.md,line 15; the line holds +0.6273; anchor: @L10-26|| xtx |,"family_atoms_tables.md, ts_gsr W = 60 table",ok,0.0230 | −0.0012 (9) | −0.0000 (10) | −0.0011 (9) | | xtx | +0.6273 | +0.6617 | −0.0345 | −0.0523 (12) | −0
Results / 1. The sixteen atoms in closed form,"Table 1, body",1,+0.6617,data,notes/review_results/partB/family_atoms_tables.md,line 15; the line holds +0.6617; anchor: @L10-26|| xtx |,"family_atoms_tables.md, ts_gsr W = 60 table",ok,0.0012 (9) | −0.0000 (10) | −0.0011 (9) | | xtx | +0.6273 | +0.6617 | −0.0345 | −0.0523 (12) | −0.0535 (12)
Results / 1. The sixteen atoms in closed form,"Table 1, body",1,−0.0345,data,notes/review_results/partB/family_atoms_tables.md,line 15; the line holds -0.0345; anchor: @L10-26|| xtx |,"family_atoms_tables.md, ts_gsr W = 60 table",ok, | −0.0000 (10) | −0.0011 (9) | | xtx | +0.6273 | +0.6617 | −0.0345 | −0.0523 (12) | −0.0535 (12) | +0.0012
Results / 1. The sixteen atoms in closed form,"Table 1, body",1,−0.0523,data,notes/review_results/partB/family_atoms_tables.md,line 15; the line holds -0.0523; anchor: @L10-26|| xtx |,"family_atoms_tables.md, ts_gsr W = 60 table",ok, (10) | −0.0011 (9) | | xtx | +0.6273 | +0.6617 | −0.0345 | −0.0523 (12) | −0.0535 (12) | +0.0012 (5) | | x
Results / 1. The sixteen atoms in closed form,"Table 1, body",2,12,data,notes/review_results/partB/family_atoms_tables.md,line 15; the line holds 12; anchor: @L10-26|| xtx |,"family_atoms_tables.md, ts_gsr W = 60 table",ok,0.0011 (9) | | xtx | +0.6273 | +0.6617 | −0.0345 | −0.0523 (12) | −0.0535 (12) | +0.0012 (5) | | xty |
Results / 1. The sixteen atoms in closed form,"Table 1, body",1,−0.0535,data,notes/review_results/partB/family_atoms_tables.md,line 15; the line holds -0.0535; anchor: @L10-26|| xtx |,"family_atoms_tables.md, ts_gsr W = 60 table",ok, (9) | | xtx | +0.6273 | +0.6617 | −0.0345 | −0.0523 (12) | −0.0535 (12) | +0.0012 (5) | | xty | −0.0254 | 
Results / 1. The sixteen atoms in closed form,"Table 1, body",3,12,data,notes/review_results/partB/family_atoms_tables.md,line 15; the line holds 12; anchor: @L10-26|| xtx |,"family_atoms_tables.md, ts_gsr W = 60 table",ok,xtx | +0.6273 | +0.6617 | −0.0345 | −0.0523 (12) | −0.0535 (12) | +0.0012 (5) | | xty | −0.0254 | −0.0
Results / 1. The sixteen atoms in closed form,"Table 1, body",1,+0.0012,data,notes/review_results/partB/family_atoms_tables.md,line 15; the line holds +0.0012; anchor: @L10-26|| xtx |,"family_atoms_tables.md, ts_gsr W = 60 table",ok,+0.6273 | +0.6617 | −0.0345 | −0.0523 (12) | −0.0535 (12) | +0.0012 (5) | | xty | −0.0254 | −0.0024 | −0.02
Results / 1. The sixteen atoms in closed form,"Table 1, body",1,5,data,notes/review_results/partB/family_atoms_tables.md,line 15; the line holds 5; anchor: @L10-26|| xtx |,"family_atoms_tables.md, ts_gsr W = 60 table",ok, +0.6617 | −0.0345 | −0.0523 (12) | −0.0535 (12) | +0.0012 (5) | | xty | −0.0254 | −0.0024 | −0.0230 
Results / 1. The sixteen atoms in closed form,"Table 1, body",1,−0.0254,data,notes/review_results/partB/family_atoms_tables.md,line 16; the line holds -0.0254; anchor: @L10-26|| xty |,"family_atoms_tables.md, ts_gsr W = 60 table",ok,.0345 | −0.0523 (12) | −0.0535 (12) | +0.0012 (5) | | xty | −0.0254 | −0.0024 | −0.0230 | +0.0012 (5) | +0.
Results / 1. The sixteen atoms in closed form,"Table 1, body",1,−0.0024,data,notes/review_results/partB/family_atoms_tables.md,line 16; the line holds -0.0024; anchor: @L10-26|| xty |,"family_atoms_tables.md, ts_gsr W = 60 table",ok,.0523 (12) | −0.0535 (12) | +0.0012 (5) | | xty | −0.0254 | −0.0024 | −0.0230 | +0.0012 (5) | +0.0000 (4) |
Results / 1. The sixteen atoms in closed form,"Table 1, body",1,−0.0230,data,notes/review_results/partB/family_atoms_tables.md,line 16; the line holds -0.0230; anchor: @L10-26|| xty |,"family_atoms_tables.md, ts_gsr W = 60 table",ok, | −0.0535 (12) | +0.0012 (5) | | xty | −0.0254 | −0.0024 | −0.0230 | +0.0012 (5) | +0.0000 (4) | +0.0011 (
Results / 1. The sixteen atoms in closed form,"Table 1, body",2,+0.0012,data,notes/review_results/partB/family_atoms_tables.md,line 16; the line holds +0.0012; anchor: @L10-26|| xty |,"family_atoms_tables.md, ts_gsr W = 60 table",ok, (12) | +0.0012 (5) | | xty | −0.0254 | −0.0024 | −0.0230 | +0.0012 (5) | +0.0000 (4) | +0.0011 (5) | | xts
Results / 1. The sixteen atoms in closed form,"Table 1, body",2,5,data,notes/review_results/partB/family_atoms_tables.md,line 16; the line holds 5; anchor: @L10-26|| xty |,"family_atoms_tables.md, ts_gsr W = 60 table",ok,0.0012 (5) | | xty | −0.0254 | −0.0024 | −0.0230 | +0.0012 (5) | +0.0000 (4) | +0.0011 (5) | | xts | 
Results / 1. The sixteen atoms in closed form,"Table 1, body",1,+0.0000,data,notes/review_results/partB/family_atoms_tables.md,line 16; the line holds +0.0000; anchor: @L10-26|| xty |,"family_atoms_tables.md, ts_gsr W = 60 table",ok,2 (5) | | xty | −0.0254 | −0.0024 | −0.0230 | +0.0012 (5) | +0.0000 (4) | +0.0011 (5) | | xts | −0.5352 | −
Results / 1. The sixteen atoms in closed form,"Table 1, body",3,4,data,notes/review_results/partB/family_atoms_tables.md,line 16; the line holds 4; anchor: @L10-26|| xty |,"family_atoms_tables.md, ts_gsr W = 60 table",ok, xty | −0.0254 | −0.0024 | −0.0230 | +0.0012 (5) | +0.0000 (4) | +0.0011 (5) | | xts | −0.5352 | −0.5
Results / 1. The sixteen atoms in closed form,"Table 1, body",1,+0.0011,data,notes/review_results/partB/family_atoms_tables.md,line 16; the line holds +0.0011; anchor: @L10-26|| xty |,"family_atoms_tables.md, ts_gsr W = 60 table",ok,| −0.0254 | −0.0024 | −0.0230 | +0.0012 (5) | +0.0000 (4) | +0.0011 (5) | | xts | −0.5352 | −0.5747 | +0.03
Results / 1. The sixteen atoms in closed form,"Table 1, body",3,5,data,notes/review_results/partB/family_atoms_tables.md,line 16; the line holds 5; anchor: @L10-26|| xty |,"family_atoms_tables.md, ts_gsr W = 60 table",ok, | −0.0024 | −0.0230 | +0.0012 (5) | +0.0000 (4) | +0.0011 (5) | | xts | −0.5352 | −0.5747 | +0.0395 
Results / 1. The sixteen atoms in closed form,"Table 1, body",1,−0.5352,data,notes/review_results/partB/family_atoms_tables.md,line 17; the line holds -0.5352; anchor: @L10-26|| xts |,"family_atoms_tables.md, ts_gsr W = 60 table",ok,−0.0230 | +0.0012 (5) | +0.0000 (4) | +0.0011 (5) | | xts | −0.5352 | −0.5747 | +0.0395 | +0.0399 (2) | +0.
Results / 1. The sixteen atoms in closed form,"Table 1, body",1,−0.5747,data,notes/review_results/partB/family_atoms_tables.md,line 17; the line holds -0.5747; anchor: @L10-26|| xts |,"family_atoms_tables.md, ts_gsr W = 60 table",ok,+0.0012 (5) | +0.0000 (4) | +0.0011 (5) | | xts | −0.5352 | −0.5747 | +0.0395 | +0.0399 (2) | +0.0413 (2) |
Results / 1. The sixteen atoms in closed form,"Table 1, body",1,+0.0395,data,notes/review_results/partB/family_atoms_tables.md,line 17; the line holds +0.0395; anchor: @L10-26|| xts |,"family_atoms_tables.md, ts_gsr W = 60 table",ok,) | +0.0000 (4) | +0.0011 (5) | | xts | −0.5352 | −0.5747 | +0.0395 | +0.0399 (2) | +0.0413 (2) | −0.0014 (
Results / 1. The sixteen atoms in closed form,"Table 1, body",1,+0.0399,data,notes/review_results/partB/family_atoms_tables.md,line 17; the line holds +0.0399; anchor: @L10-26|| xts |,"family_atoms_tables.md, ts_gsr W = 60 table",ok,0 (4) | +0.0011 (5) | | xts | −0.5352 | −0.5747 | +0.0395 | +0.0399 (2) | +0.0413 (2) | −0.0014 (9) | | ytr
Results / 1. The sixteen atoms in closed form,"Table 1, body",1,2,data,notes/review_results/partB/family_atoms_tables.md,line 17; the line holds 2; anchor: @L10-26|| xts |,"family_atoms_tables.md, ts_gsr W = 60 table",ok,0.0011 (5) | | xts | −0.5352 | −0.5747 | +0.0395 | +0.0399 (2) | +0.0413 (2) | −0.0014 (9) | | ytr | 
Results / 1. The sixteen atoms in closed form,"Table 1, body",1,+0.0413,data,notes/review_results/partB/family_atoms_tables.md,line 17; the line holds +0.0413; anchor: @L10-26|| xts |,"family_atoms_tables.md, ts_gsr W = 60 table",ok,1 (5) | | xts | −0.5352 | −0.5747 | +0.0395 | +0.0399 (2) | +0.0413 (2) | −0.0014 (9) | | ytr | +0.0258 | +
Results / 1. The sixteen atoms in closed form,"Table 1, body",2,2,data,notes/review_results/partB/family_atoms_tables.md,line 17; the line holds 2; anchor: @L10-26|| xts |,"family_atoms_tables.md, ts_gsr W = 60 table",ok, xts | −0.5352 | −0.5747 | +0.0395 | +0.0399 (2) | +0.0413 (2) | −0.0014 (9) | | ytr | +0.0258 | +0.0
Results / 1. The sixteen atoms in closed form,"Table 1, body",1,−0.0014,data,notes/review_results/partB/family_atoms_tables.md,line 17; the line holds -0.0014; anchor: @L10-26|| xts |,"family_atoms_tables.md, ts_gsr W = 60 table",ok,| −0.5352 | −0.5747 | +0.0395 | +0.0399 (2) | +0.0413 (2) | −0.0014 (9) | | ytr | +0.0258 | +0.0027 | +0.02
Results / 1. The sixteen atoms in closed form,"Table 1, body",6,9,data,notes/review_results/partB/family_atoms_tables.md,line 17; the line holds 9; anchor: @L10-26|| xts |,"family_atoms_tables.md, ts_gsr W = 60 table",ok, | −0.5747 | +0.0395 | +0.0399 (2) | +0.0413 (2) | −0.0014 (9) | | ytr | +0.0258 | +0.0027 | +0.0231 
Results / 1. The sixteen atoms in closed form,"Table 1, body",2,+0.0258,data,notes/review_results/partB/family_atoms_tables.md,line 18; the line holds +0.0258; anchor: @L10-26|| ytr |,"family_atoms_tables.md, ts_gsr W = 60 table",ok,+0.0395 | +0.0399 (2) | +0.0413 (2) | −0.0014 (9) | | ytr | +0.0258 | +0.0027 | +0.0231 | −0.0012 (9) | −0.
Results / 1. The sixteen atoms in closed form,"Table 1, body",2,+0.0027,data,notes/review_results/partB/family_atoms_tables.md,line 18; the line holds +0.0027; anchor: @L10-26|| ytr |,"family_atoms_tables.md, ts_gsr W = 60 table",ok,+0.0399 (2) | +0.0413 (2) | −0.0014 (9) | | ytr | +0.0258 | +0.0027 | +0.0231 | −0.0012 (9) | −0.0003 (10) 
Results / 1. The sixteen atoms in closed form,"Table 1, body",2,+0.0231,data,notes/review_results/partB/family_atoms_tables.md,line 18; the line holds +0.0231; anchor: @L10-26|| ytr |,"family_atoms_tables.md, ts_gsr W = 60 table",ok,) | +0.0413 (2) | −0.0014 (9) | | ytr | +0.0258 | +0.0027 | +0.0231 | −0.0012 (9) | −0.0003 (10) | −0.0008 
Results / 1. The sixteen atoms in closed form,"Table 1, body",4,−0.0012,data,notes/review_results/partB/family_atoms_tables.md,line 11; the line holds -0.0012; anchor: @L10-26|| rtx |,"family_atoms_tables.md, ts_gsr W = 60 table",ok,3 (2) | −0.0014 (9) | | ytr | +0.0258 | +0.0027 | +0.0231 | −0.0012 (9) | −0.0003 (10) | −0.0008 (8) | | yt
